Experiment,dX,Carbon Pool,SE.amb,SE.elev,X.amb,X.elev,RR,n.amb,n.elev,SE.diff,sig_thresh,t,p
Aspen,884.7999999999997,AGB,74.2246589753028,268.2707960252103,3020.6,3905.3999999999996,0.2569047236741554,12,12,278.3496362490887,545.5652870482138,3.1787359664742385,0.008780910443588088
Aspen Birch ,756.9000000000001,AGB,277.32212317087146,294.8205725521881,2343.5,3100.4,0.27988559704459554,12,12,404.75514820691285,793.3200904855491,1.8700194509028678,0.08831106760005018
Aspen Maple,1197.8000000000002,AGB,102.81245060789088,68.29238610562673,1911.1,3108.9,0.4865899733633459,12,12,123.42710399259961,241.91712382549522,9.704513524613017,9.96841796510299e-7
ORNL,119.09099999999853,AGB,391.02221,328.53461,10615.012,10734.103,0.011156643755563548,3,2,510.7184730173133,1001.008207113934,0.23318326297541495,0.8373112305391166
Duke Pine,3864.3122600000006,AGB,783.679031,1851.55822925,11962.221085,15826.533345,0.2799344164464165,4,4,2010.5772056632131,3940.7313230998975,1.9219914804143572,0.15034328065795083
Duke Hardwood,257.45603400000005,AGB,229.14124085,302.1089265,1085.362107,1342.818141,0.2128568253782909,4,4,379.1774145822244,743.1877325811598,0.678985678204657,0.5458375474353617
BioCON,22,AGB,2,2,126,148,0.16093036681263712,3,3,2.8284271247461903,5.5437171645025325,7.778174593052023,0.01613008990009253
PHACE,11,AGB,2.855,4.2815,35,46,0.27329333499968134,5,5,5.146092425326231,10.086341153639411,2.137544196809226,0.09936159630114001
GiFACE,81.5,AGB,52.8,34.3,637.9,719.4,0.12023600001361402,3,3,62.96292559911745,123.40733417427019,1.2944125328436518,0.32482823710002295
TasFACE,268.83111110000004,AGB,8.9347959,121.9175124,221.7433333,490.5744444,0.7940564832645249,6,6,122.2444698445652,239.59916089534778,2.1991269743475588,0.07918090805132144
Nevada FACE,-5,AGB,8.2,7.9,62,57,-0.08408311721054144,3,3,11.386395390991831,22.31733496634399,-0.4391205318546792,0.7034611667349633
Jasper Ridge FACE,-48.69999999999999,AGB,34.58,27.508,156.7,108,-0.37220192223775533,4,4,44.18672271169248,86.60597651491726,-1.1021410281490105,0.350884898402604
Merrit Island,418.5,AGB,54.6,77.5,624.5,1043,0.51290512543514,8,8,94.8019514567079,185.81182485514748,4.4144660903010156,0.0031019929398785158
New Zealand,-13.248537899999974,AGB,71.61115259,127.766443,411.0347971,397.7862592,-0.032763051546896745,3,3,146.4664505343818,287.07424304738834,-0.09045442046054081,0.9361694979674886
EucFACE,157,AGB,321.3051509079803,1142.0109456568268,4709,4866,0.03279667309991342,3,3,1186.3498640788896,2325.2457335946237,0.13233870104743392,0.906829454242922
Aspen,140.4000000000001,BGB,34.630189141845584,72.44542773702146,778.6999999999999,919.1,0.16576906778112355,12,12,80.29688661461289,157.38189776464125,1.748511130622707,0.10818891535753647
Aspen Birch ,148.20000000000005,BGB,62.3988781950445,73.79119188629494,615.3,763.5,0.2158031709122426,12,12,96.63725989492873,189.4090293940603,1.5335699725047482,0.1533792163495063
Aspen Maple,201.5999999999999,BGB,49.106516879127156,38.953947168419276,602.8000000000001,804.4,0.28851119114615636,12,12,62.68061901417376,122.85401326778056,3.2163051860482232,0.00821287677069583
PHACE,30.585000000000008,BGB,14.115,18.825,180,210.585,0.1569325212018139,5,5,23.529000191253346,46.11684037485656,1.2998852374258405,0.2634872628752282
ORNL,229.12350000000004,BGB,17.65544123634411,59.51195131232045,265.5,494.62350000000004,0.6221820264185417,3,2,62.0756550851459,121.66828396688595,3.6910363601596052,0.06619608355756318
Duke Pine,973.8236265,BGB,171.485332125,404.5412405,2589.202424,3563.0260505,0.31926031410657446,4,4,439.38688464643593,861.1982939070144,2.21632383789428,0.11343089968092969
Duke Hardwood,728.4162046999999,BGB,89.0180791,229.666644075,461.0229143,1189.439119,0.9477893990226436,4,4,246.3148103694266,482.7770283240761,2.9572570305760766,0.059675348140327114
BioCON,29,BGB,3,4,226,255,0.12072854588614035,5,5,5,9.8,5.799999999999999,0.004394660157666618
GiFACE,-7.089999999999975,BGB,19.858000000000004,20.564999999999998,145.39,138.3,-0.04999454827262156,3,3,28.587748932016318,56.03198790675198,-0.24800833450932058,0.8272676229809857
TasFACE,-112,BGB,48.5,37.5,326.5,214.5,-0.4201202103484142,6,6,61.30660649554826,120.16094873127459,-1.8268830457633114,0.12727700503697706
Nevada FACE,-35.83499999999998,BGB,36.565652640148514,29.649297394710718,198.98,163.145,-0.19856494123569438,3,3,47.075766472782995,92.26850228665467,-0.7612196823331193,0.5260353004244562
Jasper Ridge FACE,39.099999999999994,BGB,39.9,59.4,78.9,118,0.4025033966138361,4,4,71.55676068688409,140.2512509462928,0.5464193686896001,0.6227945163113473
Merrit Island,374.60000000000036,BGB,90.2,174.6,2886.7,3261.3,0.12201190771225251,8,8,196.52277221736924,385.1846335460437,1.9061404221677885,0.09831415168809854
New Zealand,-6.699999999999996,BGB,14.6,6.2,46.3,39.6,-0.15631284283175348,3,3,15.861904047118681,31.089331932352614,-0.42239569600832716,0.7138136844011618
EucFACE,52,BGB,60.43955658341646,143.8285089959567,833,885,0.06055400284108692,3,3,156.01147393701527,305.78248891654994,0.3333088181770103,0.7706002506843119
Aspen,-781.1999999999998,SOC,741.1149573446754,94.26186927915232,6579.3,5798.1,-0.1263980790220373,12,12,747.0854569592425,1464.2874956401154,-1.0456635084018489,0.3181507195046131
Aspen Birch ,-15.800000000000182,SOC,357.2026035739381,666.0436397113931,5422.4000000000005,5406.6,-0.0029180923837402767,12,12,755.7829251842091,1481.3345333610498,-0.020905473613536854,0.9836954544288137
Aspen Maple,-521.1000000000004,SOC,436.7180898474438,545.0360813744353,6017.8,5496.7,-0.0905738318567753,12,12,698.417511235221,1368.8983220210332,-0.746115313000075,0.47124253618394285
PHACE,212.66699999999992,SOC,95.63,209.46,2562,2774.667,0.07974253652327924,5,5,230.25765676737007,451.30500726404534,0.9236044654743357,0.40796400059562293
ORNL,480,SOC,100,215,3370,3850,0.13316040393542253,3,3,237.11811402758752,464.7515034940715,2.024307598634807,0.18023539946416764
