"","year","Flux","Tg"
"1",1,"Fixation",88
"2",1,"Leaching",-18.5
"3",1,"Mineralization",183.4
"4",1,"Deposition",27
"5",2,"Fixation",88.308484
"6",2,"Leaching",-18.405816278
"7",2,"Mineralization",183.6966527095
"8",2,"Deposition",27
"9",3,"Fixation",88.62005284
"10",3,"Leaching",-18.31069071878
"11",3,"Mineralization",183.996271946095
"12",3,"Deposition",27
"13",4,"Fixation",88.9347373684
"14",4,"Leaching",-18.2146139039678
"15",4,"Mineralization",184.298887375056
"16",4,"Deposition",27
"17",5,"Fixation",89.252568742084
"18",5,"Leaching",-18.1175763210075
"19",5,"Mineralization",184.604528958307
"20",5,"Deposition",27
"21",6,"Fixation",89.5735784295048
"22",6,"Leaching",-18.0195683622176
"23",6,"Mineralization",184.91322695739
"24",6,"Deposition",27
"25",7,"Fixation",89.8977982137999
"26",7,"Leaching",-17.9205803238397
"27",7,"Mineralization",185.225011936463
"28",7,"Deposition",27
"29",8,"Fixation",90.2252601959379
"30",8,"Leaching",-17.8206024050781
"31",8,"Mineralization",185.539914765328
"32",8,"Deposition",27
"33",9,"Fixation",90.5559967978973
"34",9,"Leaching",-17.7196247071289
"35",9,"Mineralization",185.857966622481
"36",9,"Deposition",27
"37",10,"Fixation",90.8900407658762
"38",10,"Leaching",-17.6176372322002
"39",10,"Mineralization",186.179198998206
"40",10,"Deposition",27
"41",11,"Fixation",91.227425173535
"42",11,"Leaching",-17.5146298825222
"43",11,"Mineralization",186.503643697688
"44",11,"Deposition",27
"45",12,"Fixation",91.5681834252703
"46",12,"Leaching",-17.4105924593474
"47",12,"Mineralization",186.831332844165
"48",12,"Deposition",27
"49",13,"Fixation",91.912349259523
"50",13,"Leaching",-17.3055146619409
"51",13,"Mineralization",187.162298882107
"52",13,"Deposition",27
"53",14,"Fixation",92.2599567521183
"54",14,"Leaching",-17.1993860865603
"55",14,"Mineralization",187.496574580428
"56",14,"Deposition",27
"57",15,"Fixation",92.6110403196395
"58",15,"Leaching",-17.0921962254259
"59",15,"Mineralization",187.834193035732
"60",15,"Deposition",27
"61",16,"Fixation",92.9656347228359
"62",16,"Leaching",-16.9839344656802
"63",16,"Mineralization",188.175187675589
"64",16,"Deposition",27
"65",17,"Fixation",93.3237750700642
"66",17,"Leaching",-16.874590088337
"67",17,"Mineralization",188.519592261845
"68",17,"Deposition",27
"69",18,"Fixation",93.6854968207649
"70",18,"Leaching",-16.7641522672203
"71",18,"Mineralization",188.867440893964
"72",18,"Deposition",27
"73",19,"Fixation",94.0508357889725
"74",19,"Leaching",-16.6526100678925
"75",19,"Mineralization",189.218768012403
"76",19,"Deposition",27
"77",20,"Fixation",94.4198281468622
"78",20,"Leaching",-16.5399524465715
"79",20,"Mineralization",189.573608402028
"80",20,"Deposition",27
"81",21,"Fixation",94.7925104283309
"82",21,"Leaching",-16.4261682490372
"83",21,"Mineralization",189.931997195548
"84",21,"Deposition",27
"85",22,"Fixation",95.1689195326142
"86",22,"Leaching",-16.3112462095275
"87",22,"Mineralization",190.293969877003
"88",22,"Deposition",27
"89",23,"Fixation",95.5490927279403
"90",23,"Leaching",-16.1951749496228
"91",23,"Mineralization",190.659562285273
"92",23,"Deposition",27
"93",24,"Fixation",95.9330676552197
"94",24,"Leaching",-16.0779429771191
"95",24,"Mineralization",191.028810617626
"96",24,"Deposition",27
"97",25,"Fixation",96.3208823317719
"98",25,"Leaching",-15.9595386848902
"99",25,"Mineralization",191.401751433302
"100",25,"Deposition",27
"101",26,"Fixation",96.7125751550896
"102",26,"Leaching",-15.8399503497391
"103",26,"Mineralization",191.778421657135
"104",26,"Deposition",27
"105",27,"Fixation",97.1081849066405
"106",27,"Leaching",-15.7191661312365
"107",27,"Mineralization",192.158858583207
"108",27,"Deposition",27
"109",28,"Fixation",97.507750755707
"110",28,"Leaching",-15.5971740705489
"111",28,"Mineralization",192.543099878539
"112",28,"Deposition",27
"113",29,"Fixation",97.911312263264
"114",29,"Leaching",-15.4739620892544
"115",29,"Mineralization",192.931183586824
"116",29,"Deposition",27
"117",30,"Fixation",98.3189093858966
"118",30,"Leaching",-15.3495179881469
"119",30,"Mineralization",193.323148132192
"120",30,"Deposition",27
"121",31,"Fixation",98.7305824797556
"122",31,"Leaching",-15.2238294460284
"123",31,"Mineralization",193.719032323014
"124",31,"Deposition",27
"125",32,"Fixation",99.1463723045532
"126",32,"Leaching",-15.0968840184887
"127",32,"Mineralization",194.118875355744
"128",32,"Deposition",27
"129",33,"Fixation",99.5663200275987
"130",33,"Leaching",-14.9686691366736
"131",33,"Mineralization",194.522716818802
"132",33,"Deposition",27
"133",34,"Fixation",99.9904672278747
"134",34,"Leaching",-14.8391721060403
"135",34,"Mineralization",194.93059669649
"136",34,"Deposition",27
"137",35,"Fixation",100.418855900153
"138",35,"Leaching",-14.7083801051007
"139",35,"Mineralization",195.342555372955
"140",35,"Deposition",27
"141",36,"Fixation",100.851528459155
"142",36,"Leaching",-14.5762801841517
"143",36,"Mineralization",195.758633636184
"144",36,"Deposition",27
"145",37,"Fixation",101.288527743747
"146",37,"Leaching",-14.4428592639932
"147",37,"Mineralization",196.178872682046
"148",37,"Deposition",27
"149",38,"Fixation",101.729897021184
"150",38,"Leaching",-14.3081041346332
"151",38,"Mineralization",196.603314118367
"152",38,"Deposition",27
"153",39,"Fixation",102.175679991396
"154",39,"Leaching",-14.1720014539795
"155",39,"Mineralization",197.03199996905
